,BBLE,LTFRONT,LTDEPTH,Latitude,STORIES,FULLVAL,AVTOT,BLDFRONT,BLDDEPTH,Manhattan,Bronx,Brooklyn,Queens,TAX2,TAX4
0,1001791101,,,40.719232,6.0,3463000,1558350,,,1.0,0.0,0.0,0.0,0.0,1.0
1,1000163436,,,40.70927,23.0,247784,111503,,,1.0,0.0,0.0,0.0,1.0,0.0
2,1000761255,,,40.708006,25.0,173338,78002,128.0,172.0,1.0,0.0,0.0,0.0,1.0,0.0
3,1000161179,,,40.709506,27.0,184550,83048,,,1.0,0.0,0.0,0.0,1.0,0.0
4,1001751526,,,40.718024,19.0,559937,251972,50.0,130.0,1.0,0.0,0.0,0.0,1.0,0.0
5,1002121415,,,40.720382,10.0,1490979,670941,,,1.0,0.0,0.0,0.0,1.0,0.0
6,1002121040,75.0,131.0,40.720404,11.0,357261,160767,,,1.0,0.0,0.0,0.0,1.0,0.0
7,1000163619,,,,31.0,617938,278072,,,1.0,0.0,0.0,0.0,1.0,0.0
8,1000051002,197.0,296.0,40.702112,40.0,2940129,1323058,,,1.0,0.0,0.0,0.0,0.0,1.0
9,1001341504,,,40.713487,6.0,585012,184954,,,1.0,0.0,0.0,0.0,1.0,0.0
10,1002070007,25.0,80.0,40.719086,,884000,397800,,,1.0,0.0,0.0,0.0,0.0,1.0
11,1002021038,,,40.715258,8.0,250120,112554,,,1.0,0.0,0.0,0.0,1.0,0.0
12,1000251595,,,40.705209,44.0,530849,238882,132.0,115.0,1.0,0.0,0.0,0.0,1.0,0.0
13,1000261295,,,40.706531,42.0,339565,152804,261.0,185.0,1.0,0.0,0.0,0.0,1.0,0.0
14,1000441386,,,40.707665,38.0,469917,211463,151.0,149.0,1.0,0.0,0.0,0.0,1.0,0.0
15,1000261144,,,40.706531,42.0,278961,125532,261.0,185.0,1.0,0.0,0.0,0.0,1.0,0.0
16,1001901538,,,40.720143,9.0,3289,1480,,,1.0,0.0,0.0,0.0,0.0,1.0
17,1001001071,,,40.711541,23.0,111185,50033,,,1.0,0.0,0.0,0.0,1.0,0.0
18,1001421348,,,40.716863,29.0,208034,93615,190.0,221.0,1.0,0.0,0.0,0.0,1.0,0.0
19,1001620047,59.0,46.0,40.714448,2.0,330000,148500,59.0,46.0,1.0,0.0,0.0,0.0,0.0,1.0
20,1000163472,,,40.70927,23.0,247784,111503,,,1.0,0.0,0.0,0.0,1.0,0.0
21,1000681090,94.0,119.0,40.708445,26.0,375299,168885,90.0,117.0,1.0,0.0,0.0,0.0,1.0,0.0
